plant,ring,treatment,rep,whc,time_fct,time_num,soc_mgC,doc_ugC,soc_mgN,soc_CN,soc_isoC,doc_isoC,ctrl_ugC.gSoil,ctrl_ugN.gSoil,glu_ugC.gSoil,glu_ugN.gSoil,ctrl_inc.hours,ctrl_raw.CO2,ctrl_raw.isoC,ctrl_bkg.CO2,ctrl_bkg.isoC,glu_amendment.isoC,glu_inc.hours,glu_raw.CO2,glu_raw.isoC,glu_bkg.CO2,glu_bkg.isoC
INSP,1,elevated,2,0.254,4,4,1,23.68,,,-24.06,-20.89,0,0,12.45,2.903,4.08,409.504463,-10.70738997,487.66,-5.904072879,28815.14,4.28,754.14,2351.36776,432.01,-7.129588441
INSP,1,elevated,3,0.212,4,4,1.74,28.41,,,-22.53,-22.28,0,0,10.39,2.423,4.08,449.224769,-10.45125617,449.22,-7.162828625,28815.14,4.28,896.32,2169.255485,421.95,-7.163879397
INSP,1,elevated,4,0.262,4,4,1.46,44.1,,,-23.37,-20.77,0,0,12.84,2.994,4.08,544.040983,-10.01083535,477.41,-7.749457659,28815.14,4.28,890.03,2167.053016,424.46,-6.5
INSP,2,elevated,1,0.23,4,4,1.3,38.19,,,-23.09,-22.19,0,0,11.27,2.629,4,601.699491,-11.08710025,531.23,-9.768352434,28815.14,4.22,829.63,3297.966711,421.95,-5.090556049
INSP,2,elevated,2,0.243,4,4,1.25,40.46,,,-24.07,-23.49,0,0,11.93,2.782,4,708.047406,-10.745828,537.63,-9.761167756,28815.14,4.22,1056.13,3846.09,442.08,-4.328477928
INSP,2,elevated,4,0.23,4,4,2.47,22.55,,,-23.45,-20.91,0,0,11.3,2.634,4,527.38408,-7.148818501,547.88,-9.899832059,28815.14,4.22,759.17,1612.79,570.42,-10.28828027
INSP,3,elevated,1,0.23,4,4,1.3,38.19,,,-22.45,-22.19,0,0,11.27,2.629,3.92,617.075093,-7.92440459,437.69,-8.893617776,28815.14,4.17,774.27,2943.61,476.05,-0.552037079
INSP,3,elevated,2,0.243,4,4,1.25,40.46,,,-23.03,-23.49,0,0,11.93,2.782,3.92,672.171001,-5.979871241,465.88,-8.718311611,28815.14,4.17,912.68,3965.86,487.38,-2.112702099
INSP,3,elevated,4,0.23,4,4,2.47,22.55,,,-23.53,-20.91,0,0,11.3,2.634,3.92,473.569473,4.089456262,492.79,-9.463362814,28815.14,4.17,630.82,1618.91,479.83,-7.837415197
INSP,4,ambient,2,0.236,4,4,0.88,15.38,,,-22.92,-19.39,0,0,11.55,2.692,3.92,479.975974,227.0386647,453.07,-8.559170973,28815.14,4.17,667.31,1884.19,468.5,-6.293127947
INSP,4,ambient,3,0.2,4,4,1.61,27.82,,,-23.39,-17.21,0,0,9.8,2.286,3.92,488.945075,-9.752186907,481.26,-8.964746098,28815.14,4.17,628.31,1612.12,472.28,-10
INSP,4,ambient,4,0.243,4,4,1.16,30.99,,,-22.96,-18.22,0,0,11.91,2.777,3.92,437.693068,-4.139156502,477.41,-7.789691861,28815.14,4.17,731.49,1485.36,511.28,-8.447828341
INSP,5,ambient,2,0.255,4,4,1.3,28.41,,,-21.72,-18.3,0,0,12.48,2.909,3.87,392.847561,-7.42004013,427.44,-7.74227298,28815.14,4.1,712.61,1363.84,499.96,-6.785825868
INSP,5,ambient,3,0.249,4,4,1.41,36.13,,,-22.52,-21.29,0,0,12.21,2.846,3.87,558.135285,-7.8715972,471.01,-8.292619385,28815.14,4.1,739.04,1729.829674,498.7,-8.796197162
INSP,5,ambient,4,0.259,4,4,0.96,17.35,,,-23.94,-18.53,0,0,12.69,2.96,3.87,479.975974,-5.096874202,528.67,-10.22350184,28815.14,4.1,600.62,1094.04,479.83,-9.33768719
INSP,6,ambient,1,0.325,4,4,1.79,35.08,,,-21.74,-18.17,0,0,15.95,3.718,3.83,476.132073,-4.490846536,482.54,-8.473673294,28815.14,4.03,879.97,1757.2,459.69,-9.063018335
INSP,6,ambient,2,0.246,4,4,3.41,108.44,,,-21.63,-20.75,0,0,12.08,2.817,3.83,995.058648,-11.88675501,522.26,-9.171305616,28815.14,4.03,1548.12,4632.08,515.06,3.62
INSP,6,ambient,3,0.26,4,4,1.2,41.92,,,-22.27,-19.14,0,0,12.75,2.971,3.83,563.260486,-3.904576736,527.38,-9.429594824,28815.14,4.03,877.45,1579.01,471.02,-9.37
LATR,1,elevated,1,0.267,4,4,5.14,81.52,0.549,9.371,-24.74,-23.19,0,0,13.055,3.264,4.22,521,-14.09,454,-10.6,28815.14,5.17,945.83,2411.24,400.78,-7.3
LATR,1,elevated,6,0.273,4,4,2.71,27.13,0.355,7.652,-24.13,-21.66,0,0,13.349,3.337,4.22,1045,-19.13,454,-10.6,28815.14,5.17,1240.63,5506.51,341.82,-1.36
LATR,1,elevated,7,0.307,4,4,4.17,42.12,0.5,8.345,-24.61,-22.17,0,0,15.018,3.754,4.22,657,-15.75,454,-10.6,28815.14,5.17,1376.9,4981.38,464.98,1.7
LATR,2,elevated,1,0.355,4,4,2.86,27.56,0.364,7.873,-24.85,-22.92,0,0,17.374,4.343,4.12,582,-14.68,454,-10.6,28815.14,5,886.87,2618.1,377.19,-8.57
LATR,2,elevated,6,0.318,4,4,2.61,21.65,0.349,7.479,-25.59,-23.33,0,0,15.576,3.894,4.12,485,-14.37,454,-10.6,28815.14,5,1084.72,3493.76,373.26,-9.27
LATR,2,elevated,7,0.362,4,4,2.37,31.79,0.332,7.13,-25.77,-23.16,0,0,17.731,4.433,4.12,427,-13.09,454,-10.6,28815.14,5,842.32,2087.57,390.3,-11.17
LATR,3,elevated,2,0.299,4,4,2.4,18.13,0.32,7.495,-25.02,-22.53,0,0,14.635,3.659,4.05,522,-14.2,454,-10.6,28815.14,4.92,758.47,1987.46,381.12,-8.27
LATR,3,elevated,5,0.232,4,4,2.9,30.46,0.346,8.371,-24.59,-21.85,0,0,11.386,2.847,4.05,547,-15.44,454,-10.6,28815.14,4.92,1082.1,4017.35,385.05,-7.32
LATR,3,elevated,6,0.267,4,4,3.79,39.99,0.445,8.524,-24.88,-23.26,0,0,13.074,3.269,4.05,482,-13.58,454,-10.6,28815.14,4.92,856.74,2871.64,404.71,-1.76
LATR,4,ambient,1,0.382,4,4,3.8,76.68,0.47,8.072,-24.44,-22.02,0,0,18.696,4.674,3.98,684,-14.87,454,-10.6,28815.14,4.88,699.51,3199.58,320.85,-8.3
LATR,4,ambient,2,0.345,4,4,2.96,65.14,0.384,7.713,-24.93,-22.9,0,0,16.91,4.227,3.98,661,-15.7,454,-10.6,28815.14,4.88,1193.47,4471.43,306.44,-3.76
LATR,4,ambient,6,0.283,4,4,7.73,93.07,0.754,10.258,-23.5,-21.95,0,0,13.855,3.464,3.98,769,-14.24,454,-10.6,28815.14,4.83,1873.47,4063.42,318.23,-3.6
LATR,5,ambient,1,0.279,4,4,2.54,22.71,0.329,7.717,-24.47,-19.75,0,0,13.687,3.422,3.88,519,-13.34,454,-10.6,28815.14,4.82,861.98,1811.62,371.95,-7.42
LATR,5,ambient,2,0.278,4,4,5,66.16,0.567,8.817,-23.06,-21.74,0,0,13.616,3.404,3.88,1022,-17.51,454,-10.6,28815.14,4.82,1431.93,5145.43,348.37,-0.42
LATR,5,ambient,5,0.339,4,4,4.24,74.45,0.529,8.003,-24.57,-22.17,0,0,16.587,4.147,3.88,738,-15.75,454,-10.6,28815.14,4.82,1114.85,4220.81,322.16,-7.18
LATR,6,ambient,1,0.253,4,4,1.48,12.45,0.213,6.948,-25.52,-18.7,0,0,12.368,3.092,3.77,382,-11,454,-10.6,28815.14,4.77,488.56,560.94,299.89,-8.93
LATR,6,ambient,2,0.288,4,4,1.75,98.7,0.255,6.852,-25.9,-21.9,0,0,14.106,3.527,3.77,739,-16.19,454,-10.6,28815.14,4.77,1079.48,4727.73,354.92,-4.14
