"","contrast","plant","amendment","time_fct","estimate","SE","df","t.ratio","p.value"
"1","ambient - elevated","INSP","ctrl","4",-0.160695843842928,0.365070209029313,31.4368832116734,-0.440177916106063,0.662819997187729
"2","ambient - elevated","LATR","ctrl","4",1.51394685067052,0.390244714437061,36.6494218988656,3.8794807326332,0.000419439595973969
"3","ambient - elevated","INSP","glu","4",-0.0364946753314782,0.365070209029311,31.4368832116756,-0.0999661830213819,0.921005966208692
"4","ambient - elevated","LATR","glu","4",0.621041076564296,0.39024471443706,36.6494218988642,1.59141444736841,0.120106291563284
"5","ambient - elevated","INSP","ctrl","8",0.01528898903866,0.365070209029312,31.4368832116751,0.0418795855167476,0.966859554334294
"6","ambient - elevated","LATR","ctrl","8",0.765637165965841,0.39024471443706,36.6494218988645,1.96194115548828,0.0573977145337264
"7","ambient - elevated","INSP","glu","8",-0.126113219556398,0.365070209029312,31.4368832116753,-0.345449221648959,0.732057628912559
"8","ambient - elevated","LATR","glu","8",0.261194675967597,0.390244714437061,36.6494218988645,0.669309964503628,0.507492583382291
"9","ambient - elevated","INSP","ctrl","12",0.166872035221303,0.365070209029311,31.4368832116751,0.457095734173984,0.650745354199729
"10","ambient - elevated","LATR","ctrl","12",0.734867211908826,0.39024471443706,36.6494218988645,1.88309331227943,0.067643094465524
"11","ambient - elevated","INSP","glu","12",0.133120384920591,0.365070209029312,31.4368832116751,0.364643242938244,0.717819279736406
"12","ambient - elevated","LATR","glu","12",1.20198597808413,0.390244714437061,36.6494218988646,3.08008265997409,0.00391093943411448
"13","ambient - elevated","INSP","ctrl","24",0.00536313216919163,0.365070209029312,31.4368832116753,0.0146906869871735,0.988371788325983
"14","ambient - elevated","LATR","ctrl","24",0.42417495632719,0.390244714437061,36.6494218988646,1.08694606393087,0.284157878671368
"15","ambient - elevated","INSP","glu","24",-0.12210628625425,0.365070209029312,31.4368832116752,-0.334473433422352,0.740243659440544
"16","ambient - elevated","LATR","glu","24",0.63093444599121,0.39024471443706,36.6494218988645,1.61676615377444,0.114505260525003
"17","ambient - elevated","INSP","ctrl","48",-0.176374657722179,0.365070209029311,31.4368832116751,-0.48312530948812,0.632354547759545
"18","ambient - elevated","LATR","ctrl","48",0.457892919230839,0.390244714437061,36.6494218988645,1.17334816409074,0.24822563918835
"19","ambient - elevated","INSP","glu","48",0.0996047291724627,0.365070209029312,31.4368832116753,0.272837187776298,0.786762668376063
"20","ambient - elevated","LATR","glu","48",0.27421574147875,0.390244714437061,36.6494218988645,0.702676375448966,0.486697019659055
"21","ambient - elevated","INSP","ctrl","72",-0.374725253027139,0.365070209029312,31.4368832116753,-1.02644708814641,0.312514538438178
"22","ambient - elevated","LATR","ctrl","72",0.217501770786674,0.39024471443706,36.6494218988646,0.557347127943619,0.58067863307411
"23","ambient - elevated","INSP","glu","72",-0.219675687326784,0.365070209029312,31.436883211675,-0.601735452232276,0.551665519958779
"24","ambient - elevated","LATR","glu","72",0.406404203705895,0.390244714437061,36.6494218988646,1.04140860509064,0.30450743189969
"25","ambient - elevated","INSP","ctrl","120",-0.218385932458227,0.365070209029311,31.4368832116752,-0.598202556814744,0.553990528171217
"26","ambient - elevated","LATR","ctrl","120",0.195378924428195,0.39024471443706,36.6494218988645,0.500657452106777,0.619605752309492
"27","ambient - elevated","INSP","glu","120",-0.181954412284879,0.365070209029312,31.4368832116753,-0.498409368347747,0.621664885577725
"28","ambient - elevated","LATR","glu","120",0.276851862232381,0.39024471443706,36.6494218988646,0.709431420824619,0.482546034968073
"29","ambient - elevated","INSP","ctrl","168",0.063793835506639,0.365070209029311,31.4368832116752,0.174744018900531,0.862401351374644
"30","ambient - elevated","LATR","ctrl","168",0.281943506498662,0.390244714437061,36.6494218988646,0.722478732108835,0.474585452648864
"31","ambient - elevated","INSP","glu","168",-0.144538366220753,0.365070209029312,31.4368832116752,-0.39591936741447,0.694838886864737
"32","ambient - elevated","LATR","glu","168",0.454996316248051,0.390244714437061,36.6494218988645,1.16592563439173,0.251176264901031
